time,equity,cash,positions
2026-09-25 22:26,500.0,500.0,0
2026-09-25 22:29,500.0,500.0,0
2026-09-25 22:39,500.0,500.0,0
2026-09-25 23:03,500.0,500.0,0
2026-09-25 23:10,500.0,500.0,0
2026-09-25 23:29,500.0,500.0,0
2026-09-25 23:40,500.0,500.0,0
2026-09-25 23:44,500.0,500.0,0
2026-09-26 00:05,500.0,500.0,0
2026-09-26 01:05,500.0,500.0,0
2026-09-26 02:05,500.0,500.0,0
2026-09-26 02:29,500.0,500.0,0
2026-09-26 02:35,500.0,500.0,0
2026-09-26 02:39,500.0,500.0,0
2026-09-26 02:43,500.0,500.0,0
2026-09-26 02:49,500.0,500.0,0
2026-09-26 03:05,500.0,500.0,0
2026-09-26 03:41,500.0,500.0,0
2026-09-26 03:49,500.0,500.0,0
2026-09-26 03:57,500.0,500.0,0
2026-09-26 04:07,500.0,500.0,0
2026-09-26 04:21,500.0,500.0,0
2026-09-26 04:52,500.0,500.0,0
2026-09-26 05:03,500.0,500.0,0
2026-09-26 05:18,500.0,500.0,0
2026-09-26 05:31,500.0,500.0,0
2026-09-26 05:46,500.0,500.0,0
2026-09-26 06:04,500.0,500.0,0
2026-09-26 07:05,500.0,500.0,0
2026-09-26 07:12,500.0,500.0,0
2026-09-26 07:17,500.0,500.0,0
2026-09-26 07:20,500.0,500.0,0
2026-09-26 07:24,500.0,500.0,0
2026-09-26 07:49,500.0,500.0,0
2026-09-26 08:06,500.0,500.0,0
2026-09-26 08:50,500.0,500.0,0
2026-09-26 09:06,500.0,500.0,0
2026-09-26 09:20,500.0,500.0,0
2026-09-26 09:25,500.0,500.0,0
2026-09-26 10:05,500.0,500.0,0
2026-09-26 11:05,500.0,500.0,0
2026-09-26 11:20,500.0,500.0,0
2026-09-26 12:06,500.0,500.0,0
2026-09-26 13:06,500.0,500.0,0
2026-09-26 14:06,500.0,500.0,0
2026-09-26 14:14,500.0,500.0,0
2026-09-26 14:56,500.0,500.0,0
2026-09-26 15:01,500.0,500.0,0
2026-09-26 15:07,500.0,500.0,0
2026-09-26 16:06,500.0,500.0,0
2026-09-26 16:21,500.0,500.0,0
2026-09-26 16:34,500.0,500.0,0
